Date,BITO,GLD,SPY,TLT
2021-06-15,,174.0500030517578,411.986572265625,135.58656311035156
2021-06-16,,171.11000061035156,409.68621826171875,135.47125244140625
2021-06-17,,165.85000610351562,409.5503845214844,137.49949645996094
2021-06-18,,164.92999267578125,404.0254211425781,140.08526611328125
2021-06-21,,166.9499969482422,409.8094177246094,137.73985290527344
2021-06-22,,166.25,412.00030517578125,138.0762481689453
2021-06-23,,166.13999938964844,411.5037536621094,137.72061157226562
2021-06-24,,166.0399932861328,413.9380798339844,137.94171142578125
2021-06-25,,166.58999633789062,415.408447265625,136.50933837890625
2021-06-28,,166.5800018310547,416.2458801269531,137.91287231445312
2021-06-29,,164.8300018310547,416.4698181152344,138.14358520507812
2021-06-30,,165.6300048828125,416.8204040527344,138.75872802734375
2021-07-01,,166.1999969482422,419.12811279296875,138.76644897460938
2021-07-02,,167.2899932861328,422.3317565917969,139.6038818359375
2021-07-06,,168.1199951171875,421.5625,141.24012756347656
2021-07-07,,168.75999450683594,423.05230712890625,142.49143981933594
2021-07-08,,168.64999389648438,419.60528564453125,143.0496368408203
2021-07-09,,169.2100067138672,424.08447265625,141.03802490234375
2021-07-12,,169.0,425.6035461425781,140.8551483154297
2021-07-13,,169.22000122070312,424.1526184082031,139.77713012695312
2021-07-14,,171.0399932861328,424.78558349609375,141.36529541015625
2021-07-15,,171.07000732421875,423.334716796875,142.9246063232422
2021-07-16,,169.41000366210938,420.0142517089844,142.65504455566406
2021-07-19,,169.61000061035156,413.8115234375,145.78326416015625
2021-07-20,,169.38999938964844,419.7415771484375,144.37796020507812
2021-07-21,,168.75999450683594,423.13995361328125,142.54920959472656
2021-07-22,,169.08999633789062,424.02606201171875,143.89669799804688
2021-07-23,,168.55999755859375,428.38848876953125,142.9342041015625
2021-07-26,,168.16000366210938,429.4400634765625,142.51065063476562
2021-07-27,,168.44000244140625,427.48284912109375,144.031494140625
2021-07-28,,169.2899932861328,427.30755615234375,144.04107666015625
2021-07-29,,171.1699981689453,429.0798034667969,143.24220275878906
2021-07-30,,169.82000732421875,426.9960021972656,143.9159393310547
2021-08-02,,169.61000061035156,426.10015869140625,145.19956970214844
2021-08-03,,169.49000549316406,429.5666809082031,145.2766876220703
2021-08-04,,169.52999877929688,427.45361328125,145.575439453125
2021-08-05,,168.86000061035156,430.16064453125,144.8333740234375
2021-08-06,,164.63999938964844,430.8714599609375,142.4145050048828
2021-08-09,,161.72000122070312,430.5209655761719,141.90379333496094
2021-08-10,,161.77000427246094,431.05645751953125,141.24847412109375
2021-08-11,,164.0,432.12762451171875,141.1616973876953
2021-08-12,,164.0399932861328,433.4226379394531,140.9304656982422
2021-08-13,,166.38999938964844,434.2114562988281,143.1565399169922
2021-08-16,,167.22000122070312,435.2338562011719,143.50352478027344
2021-08-17,,166.97000122070312,432.3807678222656,143.44569396972656
