Date,BIL,BND,BTC-USD,CWB,DBC,EEM,EMB,GLD,HYG,IGLB,IGSB,IWM,PFF,QQQ,SHY,SPY,TIP,TLT,VNQ
1993-05-27,,,,,,,,,,,,,,,,26.102710723877,,,
1993-05-28,,,,,,,,,,,,,,,,25.977029800415,,,
1993-06-01,,,,,,,,,,,,,,,,26.2283725738525,,,
1993-06-02,,,,,,,,,,,,,,,,26.192476272583,,,
1993-06-03,,,,,,,,,,,,,,,,26.102710723877,,,
1993-06-04,,,,,,,,,,,,,,,,26.012939453125,,,
1993-06-07,,,,,,,,,,,,,,,,25.9231796264648,,,
1993-06-08,,,,,,,,,,,,,,,,25.6898040771484,,,
1993-06-09,,,,,,,,,,,,,,,,25.7795696258545,,,
1993-06-10,,,,,,,,,,,,,,,,25.797513961792,,,
1993-06-11,,,,,,,,,,,,,,,,25.9052219390869,,,
1993-06-14,,,,,,,,,,,,,,,,25.8693237304688,,,
1993-06-15,,,,,,,,,,,,,,,,25.8154697418213,,,
1993-06-16,,,,,,,,,,,,,,,,25.8693237304688,,,
1993-06-17,,,,,,,,,,,,,,,,25.9590873718262,,,
1993-06-18,,,,,,,,,,,,,,,,25.7453193664551,,,
1993-06-21,,,,,,,,,,,,,,,,25.7995586395264,,,
1993-06-22,,,,,,,,,,,,,,,,25.8176212310791,,,
1993-06-23,,,,,,,,,,,,,,,,25.5825996398926,,,
1993-06-24,,,,,,,,,,,,,,,,25.9261264801025,,,
1993-06-25,,,,,,,,,,,,,,,,25.9080333709717,,,
1993-06-28,,,,,,,,,,,,,,,,26.1972999572754,,,
1993-06-29,,,,,,,,,,,,,,,,26.0707607269287,,,
1993-06-30,,,,,,,,,,,,,,,,26.0707607269287,,,
1993-07-01,,,,,,,,,,,,,,,,25.9984283447266,,,
1993-07-02,,,,,,,,,,,,,,,,25.8537883758545,,,
1993-07-06,,,,,,,,,,,,,,,,25.5825996398926,,,
1993-07-07,,,,,,,,,,,,,,,,25.6549186706543,,,
1993-07-08,,,,,,,,,,,,,,,,25.9441814422607,,,
1993-07-09,,,,,,,,,,,,,,,,26.0165100097656,,,
1993-07-12,,,,,,,,,,,,,,,,25.9984283447266,,,
1993-07-13,,,,,,,,,,,,,,,,25.9803447723389,,,
1993-07-14,,,,,,,,,,,,,,,,26.0707607269287,,,
1993-07-15,,,,,,,,,,,,,,,,25.9622688293457,,,
1993-07-16,,,,,,,,,,,,,,,,25.8899421691895,,,
1993-07-19,,,,,,,,,,,,,,,,25.8718738555908,,,
1993-07-20,,,,,,,,,,,,,,,,25.9441814422607,,,
1993-07-21,,,,,,,,,,,,,,,,25.9261264801025,,,
1993-07-22,,,,,,,,,,,,,,,,25.7453193664551,,,
1993-07-23,,,,,,,,,,,,,,,,25.8718738555908,,,
1993-07-26,,,,,,,,,,,,,,,,26.0165100097656,,,
1993-07-27,,,,,,,,,,,,,,,,25.9984283447266,,,
1993-07-28,,,,,,,,,,,,,,,,25.9441814422607,,,
1993-07-29,,,,,,,,,,,,,,,,26.0888195037842,,,
1993-07-30,,,,,,,,,,,,,,,,25.9441814422607,,,
1993-08-02,,,,,,,,,,,,,,,,26.0165100097656,,,
1993-08-03,,,,,,,,,,,,,,,,26.0345935821533,,,
1993-08-04,,,,,,,,,,,,,,,,26.0345935821533,,,
1993-08-05,,,,,,,,,,,,,,,,25.9803447723389,,,
1993-08-06,,,,,,,,,,,,,,,,26.0165100097656,,,
1993-08-09,,,,,,,,,,,,,,,,26.1611328125,,,
