Date,BIL,BND,BTC-USD,CWB,DBC,EEM,EMB,GLD,HYG,IGLB,IGSB,IWM,MTUM,PFF,QQQ,QUAL,SHY,SIZE,SPY,TIP,TLT,USMV,VLUE,VNQ,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2010-09-16,85.38265991210938,58.04378128051758,,22.642332077026367,22.4834041595459,33.19221496582031,61.50846862792969,124.62999725341795,44.13856506347656,32.007850646972656,41.72281646728516,54.34843444824219,,19.67517471313477,42.55721664428711,,75.28376007080078,,88.68208312988281,79.60865020751953,73.39104461669922,,,32.2735481262207,25.18198013305664,,35.51565933227539,9.44636344909668,23.816068649291992,18.63292694091797,19.7490177154541,,19.9521427154541,24.212003707885746,27.69804000854492
2010-09-17,85.36406707763672,58.10042953491211,,22.6773624420166,22.560667037963867,33.13827896118164,61.48039627075195,124.54000091552734,44.21808624267578,32.055458068847656,41.74268341064453,54.57438278198242,,19.67022705078125,42.70138549804688,,75.3016586303711,,88.71521759033203,79.3794937133789,73.68817138671875,,,32.37065124511719,25.186601638793945,,35.337974548339844,9.396838188171388,24.03923416137696,18.733543395996094,19.69682884216309,,19.91792297363281,24.2071475982666,27.770109176635746
2010-09-20,85.36406707763672,58.14291763305664,,22.689027786254883,22.744165420532227,33.6620979309082,61.469120025634766,124.87000274658205,44.28762435913086,32.10309982299805,41.746700286865234,56.08918380737305,,19.76912879943848,43.44881057739258,,75.31057739257812,,90.07169342041016,79.68992614746094,74.11577606201172,,,33.15974807739258,25.34820556640625,,35.934696197509766,9.576926231384276,24.3994197845459,19.0079345703125,19.91131591796875,,20.182632446289062,24.530563354492188,28.30432510375977
2010-09-21,85.36406707763672,58.35553359985352,,22.65984344482422,22.50271797180176,33.56195831298828,61.54214096069336,126.01000213623048,44.21308135986328,32.10309982299805,41.758670806884766,55.7628059387207,,19.72461700439453,43.43992614746094,,75.36416625976562,,89.89030456542969,80.70999908447266,75.14498901367188,,,32.674156188964844,25.232776641845703,,35.9609260559082,9.486882209777832,24.44640350341797,18.97467803955078,19.875564575195312,,20.07933616638184,24.54672622680664,28.185604095458984
2010-09-22,85.36406707763672,58.40509414672852,,22.63650321960449,22.63793182373047,33.58505630493164,61.73301315307617,126.1999969482422,44.03424453735352,32.81132888793945,41.77457809448242,55.10164260864258,,19.72461700439453,43.324249267578125,,75.35525512695312,,89.44866943359375,80.82086944580078,75.81906127929688,,,32.231056213378906,25.294336318969727,,35.698631286621094,9.332521438598633,24.321121215820312,18.883207321166992,19.91131591796875,,20.22137451171875,24.58715438842773,27.99905776977539
2010-09-23,85.36406707763672,58.41925811767578,,22.525609970092773,22.65724372863769,33.369380950927734,61.78355407714844,126.3000030517578,43.91995620727539,32.89466094970703,41.83034133911133,54.43462753295898,,19.704837799072266,43.30644226074219,,75.36416625976562,,88.72309112548828,80.76172637939453,76.03640747070312,,,31.43590545654297,25.055784225463867,,35.475677490234375,9.15243434906006,23.960926055908203,18.858259201049805,19.782617568969727,,19.98894119262696,24.45779609680176,27.854909896850582
2010-09-24,85.38265991210938,58.28466796875,,22.74738502502441,23.004926681518555,33.98560333251953,61.79479217529297,126.69000244140624,44.0938606262207,32.47805404663086,41.77457809448242,56.20494079589844,,19.7345027923584,44.18733978271485,,75.35525512695312,,90.55274963378906,80.35520935058594,75.01451873779297,,,32.3251838684082,25.6714096069336,,36.242897033691406,9.396838188171388,24.618682861328125,19.224130630493164,20.04715347290039,,20.3117618560791,24.78927993774414,28.575660705566406
2010-09-27,85.38265991210938,58.53264617919922,,22.759048461914062,22.85040283203125,33.92399597167969,62.12605285644531,126.72000122070312,44.16839599609375,32.47805404663086,41.82634353637695,56.06229782104492,,19.68011474609375,43.94710540771485,,75.37310791015625,,90.11898803710938,80.5916976928711,76.31912994384766,,,31.927095413208008,25.52519798278809,,36.10520553588867,9.29392910003662,24.462064743041992,19.232437133789062,19.93276023864746,,20.35051155090332,24.603330612182617,28.38911247253418
2010-09-28,85.36406707763672,58.66019058227539,,22.79408836364746,22.85040283203125,34.17049026489258,62.22713088989258,127.8499984741211,44.23297882080078,33.06131362915039,41.79051208496094,56.61604309082031,,19.65539932250977,43.929298400878906,,75.39098358154297,,90.43445587158205,81.15349578857422,76.84097290039062,,,32.055702209472656,25.52519798278809,,36.36092758178711,9.313225746154783,24.595191955566406,19.257387161254883,20.061452865600582,,20.363414764404297,24.80545425415039,28.609588623046875
2010-09-29,85.36406707763672,58.59640502929688,,22.76489448547364,23.14979362487793,34.286033630371094,62.33380508422852,127.9499969482422,44.3372802734375,32.870845794677734,41.81440734863281,56.77545547485352,,19.68011474609375,43.85810470581055,,75.37310791015625,,90.27674102783205,80.7912826538086,76.52203369140625,,,31.80459785461425,25.32511138916016,,36.7478141784668,9.24247932434082,24.587352752685547,19.215808868408203,20.004262924194336,,20.324682235717773,24.716514587402344,28.40607261657715
